Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S15986100004,11/26/2013,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,POINT (-93.519187 41.598109),77,Polk,1031080,VODKA 80 PROOF,300,Mccormick Distilling Company,36904,Mccormick Vodka Pet,24,375,1.80,2.69,24,64.56,9.00,2.38
S05740800098,05/25/2012,2623,Hy-Vee Food Store #4 / Sioux City,2827 HAMILTON BLVD,SIOUX CITY,51104,POINT (-96.417783 42.519886),97,Woodbury,1071100,AMERICAN COCKTAILS,285,"Charles Jacquin Et. Cie., Inc.",56957,Bartenders Hot Sex,12,"1,000",5.28,7.91,12,94.92,12.00,3.17
S16079800004,12/04/2013,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1081312,BUTTERSCOTCH SCHNAPPS,380,Phillips Beverage Company,83363,Ice Hole Butterscotch Schnapps,12,750,5.15,7.73,12,92.76,9.00,2.38
S13675700026,07/31/2013,4004,Wal-Mart 4256 / Ames,534 S DUFF AVE,AMES,50010,POINT (-93.610343 42.017115),85,Story,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43125,Bacardi Superior Rum Pet,12,750,7.53,11.30,12,135.60,9.00,2.38
S15194700053,10/16/2013,3644,Wal-Mart 2764 / Altoona,3501  8TH ST SW,ALTOONA,50009,POINT (-93.505276 41.644195),77,Polk,1011200,STRAIGHT BOURBON WHISKIES,259,Heaven Hill Brands,17958,Evan Williams Yr Str Bourbon,6,"1,750",13.03,20.18,6,121.08,10.50,2.77
S26075800051,06/08/2015,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,80577,Arrow Peppermint Schnapps,12,"1,000",3.84,5.76,12,69.12,12.00,3.17
S03879300004,02/01/2012,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,POINT (-95.14506 43.145897),21,Clay,1081200,CREAM LIQUEURS,305,MHW Ltd,73050,Rumchata,6,750,12.50,18.75,6,112.50,4.50,1.19
S06803700105,07/26/2012,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1081030,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67527,Kahlua Coffee Liqueur,12,"1,000",14.81,22.22,24,533.28,24.00,6.34
S09646300127,12/21/2012,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,POINT (-93.235588 43.148451),17,Cerro Gordo,1081305,APPLE SCHNAPPS,65,Jim Beam Brands,73482,Dekuyper Washington Apple,12,750,6.30,9.45,2,18.90,1.50,0.40
S28578900002,10/21/2015,2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,POINT (-91.529854 41.663541),52,Johnson,1032200,IMPORTED VODKA - MISC,260,Diageo Americas,64573,Ciroc Pineapple,12,750,19.00,28.50,12,342.00,9.00,2.38
S06627800008,07/17/2012,4295,Nat Food Mart #1 / Hubbell,3804 HUBBELL,DES MOINES,50317,POINT (-93.541351 41.630849),77,Polk,1031080,VODKA 80 PROOF,300,Mccormick Distilling Company,36903,Mccormick Vodka,48,200,1.12,1.68,48,80.64,9.60,2.54
S22902100005,12/11/2014,4941,Kum & Go #170 / Urbandale,6990 DOUGLAS AVE,URBANDALE,50322,POINT (-93.711902 41.629415),77,Polk,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81206,Paramount Peppermint Schnapps,12,750,3.71,5.57,12,66.84,9.00,2.38
S08117600037,10/04/2012,4612,ATC Liquor,"214, MYRTLE ST",DAVENPORT,52802,POINT (-90.589149 41.521586),82,Scott,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,80577,Arrow Peppermint Schnapps,12,"1,000",4.03,6.05,12,72.60,12.00,3.17
S28042400017,09/23/2015,2846,CVS Pharmacy #8443 / Cedar Rapids,3419 16th AVE SW,CEDAR RAPIDS,52404,POINT (-91.716615 41.963516),57,Linn,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81206,Paramount Peppermint Schnapps,12,750,3.71,5.57,2,11.14,1.50,0.40
S16752700163,01/09/2014,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.193204 41.836268000000004),23,Clinton,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,65,Jim Beam Brands,74792,Ice Surge Tropical Freeze,12,750,8.92,13.38,6,80.28,4.50,1.19
S07611100003,09/10/2012,2498,Charley's Quik Shop,910 MAIN ST,ARLINGTON,50606,POINT (-91.674803 42.751074),33,Fayette,1012100,CANADIAN WHISKIES,55,Sazerac North America,12408,Canadian Ltd Whisky,6,"1,750",8.99,13.49,6,80.94,10.50,2.77
S06016800123,06/12/2012,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78,Pottawattamie,1052010,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48106,Hennessy Vs Cognac,12,750,17.25,25.88,3,77.64,2.25,0.59
S28109100142,09/24/2015,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1032200,IMPORTED VODKA - MISC,65,Jim Beam Brands,35784,Pinnacle Coconut,12,750,7.88,11.82,2,23.64,1.50,0.40
S28657900032,10/26/2015,3829,Gary's Foods / Mt Vernon,715  1ST AVE S,MOUNT VERNON,52314,POINT (-91.422487 41.916708),57,Linn,1011200,STRAIGHT BOURBON WHISKIES,259,Heaven Hill Brands,17956,Evan Williams Str Bourbon,12,750,6.81,10.55,3,31.65,2.25,0.59
S08884900006,11/12/2012,4672,The Pit Stop / River City Liquor,402 S HWY 52,GUTTENBERG,52052,POINT (-91.100471 42.782424000000006),22,Clayton,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26827,Jack Daniels Old #7 Black Lbl,12,"1,000",16.92,25.37,4,101.48,4.00,1.06
S04459100030,03/08/2012,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,POINT (-93.793827 41.68840000000001),77,Polk,1062100,JAMAICA RUM,461,Campari(skyy),42006,Appleton Signature Blend,12,750,8.96,13.45,1,13.45,0.75,0.20
S28304700003,10/06/2015,4571,Casey's General Store #2357 / Alliso,"100, CHERRY ST",ALLISON,50602,POINT (-92.790457 42.745202),12,Butler,1011200,STRAIGHT BOURBON WHISKIES,125,"Cedar Ridge Vineyards,LLC",17206,Cedar Ridge Bourbon,6,750,18.10,27.15,6,162.90,4.50,1.19
S28071200032,09/23/2015,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N LAKE ST,STORM LAKE,50588,POINT (-95.200758 42.65318400000001),11,Buena Vista,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,27392,Jim Beam Maple,12,750,10.49,15.74,1,15.74,0.75,0.20
S26900300039,07/23/2015,5162,Urbandale Liquor,"6401, DOUGLAS AVE",URBANDALE,50322,POINT (-93.705732 41.629411),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43388,Castillo Silver Rum,6,"1,750",8.33,12.50,2,25.00,3.50,0.92
S09749500081,12/27/2012,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POINT (-93.73162 41.571127),77,Polk,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36307,Hawkeye Vodka,12,"1,000",3.94,5.91,12,70.92,12.00,3.17
S26842500008,07/20/2015,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie,1032080,IMPORTED VODKA,260,Diageo Americas,36871,Ciroc Luxury Vodka,12,750,19.00,28.50,12,342.00,9.00,2.38
S19277700010,06/02/2014,4353,Kum & Go #302 / Clear Lake,2905 FOURTH AVE,CLEAR LAKE,50248,POINT (-93.652428 41.475689),17,Cerro Gordo,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,"1,750",10.45,15.67,6,94.02,10.50,2.77
S15911100013,11/23/2013,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,POINT (-95.14506 43.145897),21,Clay,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43127,Bacardi Superior Rum,12,"1,000",9.43,14.14,12,169.68,12.00,3.17
S15044800016,10/09/2013,4773,"Fast Mart 2, LLC",2704 VINE ST,WEST DES MOINES,50265,POINT (-93.741511 41.580206),77,Polk,1031200,VODKA FLAVORED,380,Phillips Beverage Company,42002,Uv Cake Vodka,6,500,4.89,7.34,1,7.34,0.50,0.13
S22806500076,12/08/2014,2588,Hy-Vee Food and Drug #6 / Cedar Rapi,4035 MT. VERNON ROAD S.E.,CEDAR RAPIDS,52403,POINT (-91.60978 41.976835),57,Linn,1012100,CANADIAN WHISKIES,260,Diageo Americas,11290,Crown Royal Canadian Whisky Mini,10,300,7.35,11.03,2,22.06,0.60,0.16
S27884400087,09/14/2015,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78,Pottawattamie,1062100,JAMAICA RUM,461,Campari(skyy),43371,Appleton Signature Blend,12,750,10.50,15.75,1,15.75,0.75,0.20
S19210100040,05/28/2014,4847,Slagle Foods LeClaire,1301 EAGLE RIDGE RD,LECLAIRE,52753,POINT (-90.359813 41.587349),82,Scott,1042100,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28236,Bombay Sapphire Gin,12,750,12.64,19.46,2,38.92,1.50,0.40
S04160600009,02/20/2012,2634,Hy-Vee Wine and Spirits / Ames,3615 LINCOLN WAY,AMES,50014,POINT (-93.667932 42.022911),85,Story,1081200,CREAM LIQUEURS,305,MHW Ltd,73050,Rumchata,6,750,12.50,18.75,6,112.50,4.50,1.19
S17793000033,03/10/2014,3728,Brewski's Beverage,726 CREEK TOP,COUNCIL BLUFFS,51503,POINT (-95.854809 41.262316),78,Pottawattamie,1012100,CANADIAN WHISKIES,260,Diageo Americas,11297,Crown Royal Canadian Whisky,12,"1,000",18.25,27.37,3,82.11,3.00,0.79
S20090000027,07/16/2014,3757,Wal-Mart 3590 / Sioux City,3101 FLOYD BLVD,SIOUX CITY,51108,POINT (-96.37287 42.530454),97,Woodbury,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42716,Malibu Coconut Rum,12,750,7.50,11.24,12,134.88,9.00,2.38
S03412400454,01/04/2012,2661,Hy-Vee Food Store / Sheldon,1989 PARK ST,SHELDON,51201,POINT (-95.831721 43.186038),71,O'Brien,1012210,SINGLE MALT SCOTCH,305,MHW Ltd,5492,Macallan Fine Oak 10 Year,12,750,21.53,32.29,3,96.87,2.25,0.59
S05472800040,05/10/2012,4129,Cyclone Liquors,626 LINCOLN WAY,AMES,50010,POINT (-93.618911 42.022854),85,Story,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,10632,Canadian Club Reserve Triple Aged,12,750,8.92,13.38,2,26.76,1.50,0.40
S21723300088,10/13/2014,2517,Hy-Vee Food Store #1 / Newton,1501 FIRST AVENUE EAST,NEWTON,50208,POINT (-93.034296 41.69916),50,Jasper,1081200,CREAM LIQUEURS,260,Diageo Americas,68306,Emmets Irish Cream Liqueur,12,750,6.00,9.00,3,27.00,2.25,0.59
S23216900017,12/27/2014,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,1520 6TH ST SW,CEDAR RAPIDS,52404,POINT (-91.67706 41.962419),57,Linn,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19478,Maker's Mark,6,"1,750",34.64,51.96,1,51.96,1.75,0.46
S26859300063,07/21/2015,3942,Twin Town Liquor,104 HIGHWAY 30 WEST,TOLEDO,52342,POINT (-92.579446 41.985985),86,Tama,1012100,CANADIAN WHISKIES,971,"Hood River Distillers, Inc.",14204,Pendleton Limited Edition WNP15,12,750,13.10,19.65,2,39.30,1.50,0.40
S22987300053,12/16/2014,4764,New Star / Fort Dodge,1923 5TH AVE S,FORT DODGE,50501,POINT (-94.170859 42.501169),94,Webster,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34001,Absolut Swedish Vodka 80 Prf Mini,10,600,7.92,11.88,1,11.88,0.60,0.16
S11288900002,03/27/2013,4822,Casey's General Store #3214 / Oskalo,413 A AVE W,OSKALOOSA,52577,POINT (-92.648951 41.296226),62,Mahaska,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76036,Midnight Moon Apple Pie,6,750,10.42,15.63,6,93.78,4.50,1.19
S09319700084,12/05/2012,2963,Dahl's / Clive,15500 HICKMAN,CLIVE,50325,POINT (-93.831913 41.614713),77,Polk,1031200,VODKA FLAVORED,260,Diageo Americas,40917,Smirnoff Pineapple Vodka,12,750,7.96,11.94,3,35.82,2.25,0.59
S17899600026,03/17/2014,4897,Gasland #102 / Burlington,1703 MT PLEASANT ST,BURLINGTON,52601,POINT (-91.121931 40.819885),29,Des Moines,1052010,IMPORTED GRAPE BRANDIES,389,REMY COINTREAU USA         .,49189,Remy Martin Vsop Cognac,24,200,5.42,8.13,10,81.30,2.00,0.53
S14879700005,10/01/2013,4318,Fareway Stores #841 / Red Oak,811 BROADWAY,RED OAK,51566,POINT (-95.321174 41.663944),69,Montgomery,1031080,VODKA 80 PROOF,380,Phillips Beverage Company,37346,Phillips Vodka,12,750,3.57,5.35,3,16.05,2.25,0.59
S13017900009,06/27/2013,4433,Kum & Go #24  Pleasant Hill,5970 MORNING STAR CT,PLEASANT HILL,50317,POINT (-93.492204 41.597596),77,Polk,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11776,Black Velvet,12,750,4.83,7.44,24,178.56,18.00,4.76
S21419000137,09/24/2014,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1012200,SCOTCH WHISKIES,370,Pernod Ricard USA/Austin Nichols,9426,Passport Scotch,12,750,6.99,10.49,3,31.47,2.25,0.59
S12746600018,06/12/2013,4093,Hiway 20 Liquors / Fort Dodge,1724  5TH AVE SOUTH,FORT DODGE,50501,POINT (-94.173816 42.501131),94,Webster,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,"1,000",15.00,22.49,1,22.49,1.00,0.26
S20667200078,08/14/2014,4108,Oasis Grocery and Liquor /,2917 PAYNE,DES MOINES,50310,POINT (-93.658311 41.620075),77,Polk,1031080,VODKA 80 PROOF,260,Diageo Americas,37991,Smirnoff Vodka 80 Prf Mini,12,500,7.47,11.21,2,22.42,1.00,0.26
S23536300008,01/20/2015,3420,Sam's Club 6344 / Windsor Heights,1101  73RD STREET,WINDSOR HEIGHTS,50311,POINT (-93.718027 41.599172),77,Polk,1012200,SCOTCH WHISKIES,260,Diageo Americas,10008,Scoresby Rare Scotch,6,"1,750",10.50,15.75,54,850.50,94.50,24.96
S13078600003,07/01/2013,3830,Wal-Mart 1435 / Creston,806 LAUREL ST,CRESTON,50801,POINT (-94.372786 41.047714),88,Union,1081030,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67526,Kahlua Coffee Liqueur,12,750,12.00,17.99,12,215.88,9.00,2.38
S06881400059,08/01/2012,3705,Liquor Locker,507 1ST AVE #100,ROCK RAPIDS,51246,,60,Lyon,1031080,VODKA 80 PROOF,297,Laird And Company,35914,Five O'clock Vodka,24,375,1.84,2.75,3,8.25,1.12,0.30
S04633500131,03/20/2012,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,Des Moines,1012100,CANADIAN WHISKIES,260,Diageo Americas,11285,Crown Royal Xr Canadian Whiskey,6,750,65.00,97.50,1,97.50,0.75,0.20
S24122500071,02/18/2015,4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,POINT (-93.650838 42.021461),85,Story,1701100,DECANTERS & SPECIALTY PACKAGES,395,Proximo,4001,Jose Cuervo Gold w/1L Classic Margarita Mix,6,750,10.49,15.74,12,188.88,9.00,2.38
S16489800097,12/27/2013,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.773557 41.561197),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45247,Paramount Gold Rum,12,"1,000",4.34,6.51,12,78.12,12.00,3.17
S04471500083,03/08/2012,2599,Hy-Vee Wine and Spirits / Coralville,1914 8TH STREET,CORALVILLE,52241,POINT (-91.590715 41.682013),52,Johnson,1022100,TEQUILA,434,Luxco-St Louis,87937,Juarez Tequila Silver,12,"1,000",6.67,10.00,12,120.00,12.00,3.17
S15754400056,11/18/2013,3612,B and C Liquor / Maquoketa,509 E PLATT,MAQUOKETA,52060,POINT (-90.659692 42.06922000000001),49,Jackson,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11773,Black Velvet,48,200,1.56,2.34,6,14.04,1.20,0.32
S24366100001,03/04/2015,2669,Hy-Vee / Corydon,"103, E JACKSON ST",CORYDON,50060,POINT (-93.318046 40.75842),93,Wayne,1031080,VODKA 80 PROOF,260,Diageo Americas,37996,Smirnoff Vodka 80 Prf,12,750,8.25,12.38,12,148.56,9.00,2.38
S06275500130,06/27/2012,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2ND AVE NORTH,FORT DODGE,50501,POINT (-94.177165 42.508344),94,Webster,1012210,SINGLE MALT SCOTCH,370,Pernod Ricard USA/Austin Nichols,5040,Glenlivet 18yr,6,750,39.90,59.85,1,59.85,0.75,0.20
S12703400031,06/10/2013,3791,Pit Stop Liquor and Tobacco,111 E HARRISON ST,JEFFERSON,50129,POINT (-94.374156 42.014308),37,Greene,1081030,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67526,Kahlua Coffee Liqueur,12,750,12.00,17.99,1,17.99,0.75,0.20
S21435300049,09/25/2014,3858,Harolds Jack N Jill / Davenport,6723 NW BLVD UNIT 2,DAVENPORT,52806,POINT (-90.609747 41.589369),82,Scott,1031200,VODKA FLAVORED,260,Diageo Americas,41796,Smirnoff Raspberry Vodka,12,750,8.25,12.38,2,24.76,1.50,0.40
S28745900008,10/29/2015,3769,Wal-Mart 0753 / Cedar Fall,525 BRANDILYNN BLVD,CEDAR FALLS,50613,POINT (-92.440394 42.485042),07,Black Hawk,1012100,CANADIAN WHISKIES,260,Diageo Americas,11296,Crown Royal,12,750,15.00,22.50,12,270.00,9.00,2.38
S04063200005,02/14/2012,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,POINT (-91.387797 40.400038),56,Lee,1011100,BLENDED WHISKIES,65,Jim Beam Brands,24458,Kessler Blend Whiskey,6,"1,750",11.01,16.52,6,99.12,10.50,2.77
S04967700047,04/10/2012,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,Des Moines,1052010,IMPORTED GRAPE BRANDIES,65,Jim Beam Brands,47786,Courvoisier Vs Cognac,12,750,14.17,21.25,3,63.75,2.25,0.59
S09778500005,12/28/2012,3791,Pit Stop Liquor and Tobacco,111 E HARRISON ST,JEFFERSON,50129,POINT (-94.374156 42.014308),37,Greene,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34422,Grey Goose Vodka,6,"1,000",21.77,32.66,2,65.32,2.00,0.53
S10148100018,01/21/2013,2612,Hy-Vee Store / Perry,1215  141 ST,PERRY,50220,POINT (-94.104501 41.830292),25,Dallas,1011100,BLENDED WHISKIES,65,Jim Beam Brands,22788,Beam's 8 Star Bl Whiskey,6,"1,750",7.24,10.86,6,65.16,10.50,2.77
S28960000025,11/10/2015,4608,Casey's General Store #3050 / Counci,"510, 23rd AVE",COUNCIL BLUFFS,51503,POINT (-95.85248 41.23931),78,Pottawattamie,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,260,Diageo Americas,43328,Captain Morgan White,12,750,8.50,12.75,3,38.25,2.25,0.59
S20038000120,07/10/2014,2599,Hy-Vee Wine and Spirits / Coralville,1914 8TH STREET,CORALVILLE,52241,POINT (-91.590715 41.682013),52,Johnson,1062310,SPICED RUM,260,Diageo Americas,43322,Captain Morgan 1671,12,750,9.99,14.99,2,29.98,1.50,0.40
S07274800007,08/23/2012,2560,Hy-Vee Food Store / Marion,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,Linn,1031200,VODKA FLAVORED,260,Diageo Americas,41078,Jeremiah Weed Sweet Tea Vodka,6,"1,750",14.97,22.46,6,134.76,10.50,2.77
S17285500005,02/10/2014,4630,EZ Stop / Davenport,2923 BRADY ST,DAVENPORT,52803,POINT (-90.570603 41.549887),82,Scott,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,"1,750",7.17,10.76,6,64.56,10.50,2.77
S28018200039,09/21/2015,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761,POINT (-91.06411300000002 41.408437),70,Muscatine,1081365,TROPICAL FRUIT SCHNAPPS,421,"Sazerac Co., Inc.",83907,Maui Blue Hawaiian Schnapps,12,"1,000",4.54,6.81,3,20.43,3.00,0.79
S24263200139,02/26/2015,2593,Hy-Vee Food Store / Carroll,905 US HIGHWAY 30 WEST,CARROLL,51401,POINT (-94.853591 42.064155),14,Carroll,1011100,BLENDED WHISKIES,65,Jim Beam Brands,22784,Beam's 8 Star Bl Whiskey,24,375,2.09,3.14,7,21.98,2.62,0.69
S29207300038,11/20/2015,2601,Hy-Vee Food Store / Fairfield,1300 WEST BURLINGTON AVE,FAIRFIELD,52556,POINT (-91.978702 41.006456),51,Jefferson,1031080,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,"1,750",7.20,10.80,6,64.80,10.50,2.77
S16186700035,12/10/2013,2529,Hy-Vee Drugstore #4 / Cedar Rapids,4825 JOHNSON AVE NW,CEDAR RAPIDS,52405,POINT (-91.73337 41.968343),57,Linn,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64866,Fireball Cinnamon Whiskey,12,750,8.98,13.47,12,161.64,9.00,2.38
S11728500052,04/18/2013,3912,Smokin' Joe's #14 Tobacco and Liquor,225 EDGEWOOD RD,CEDAR RAPIDS,52405,,57,Linn,1031080,VODKA 80 PROOF,260,Diageo Americas,37993,Smirnoff Vodka 80 Prf,48,200,2.46,3.69,3,11.07,0.60,0.16
S04030400155,02/13/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43036,Bacardi Gold Rum,12,750,7.53,11.30,12,135.60,9.00,2.38
S05175900038,04/23/2012,3932,Main Street Spirits / Mapleton,311 MAIN ST,MAPLETON,51034,POINT (-95.79375 42.165915),67,Monona,1031200,VODKA FLAVORED,380,Phillips Beverage Company,42079,UV Cake Vodka,12,"1,000",7.50,11.25,3,33.75,3.00,0.79
S12178400089,05/13/2013,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,POINT (-92.327917 42.459938),07,Black Hawk,1051010,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52594,E & J Vs Brandy,24,375,2.99,4.49,5,22.45,1.88,0.50
S04616800042,03/19/2012,2582,Hy-Vee #2 Food Store / Mason City,551 S ILLINOIS AVE,MASON CITY,50401,POINT (-93.17114 43.14623),17,Cerro Gordo,1031080,VODKA 80 PROOF,55,Sazerac North America,37938,Skol Vodka,6,"1,750",7.10,10.65,6,63.90,10.50,2.77
S26856900029,07/20/2015,4180,Smokin' Joe's #10 Tobacco and Liquor,480 7TH AVE,MARION,52302,POINT (-91.605094 42.033366),57,Linn,1031080,VODKA 80 PROOF,55,Sazerac North America,37938,Skol Vodka,6,"1,750",7.11,10.67,12,128.04,21.00,5.55
S13621900053,07/30/2013,4442,A-TOWN LIQUOR STORE,212 10TH ST,ALTON,51003,POINT (-96.010058 42.987005),84,Sioux,1081390,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69637,Dr. Mcgillicuddy's Cherry Schnapps,12,"1,000",11.00,16.50,4,66.00,4.00,1.06
S25055500052,04/14/2015,2413,Beecher Beverage,1691 ASBURY ROAD,DUBUQUE,52001,POINT (-90.696886 42.500775000000004),31,Dubuque,1022100,TEQUILA,434,Luxco-St Louis,87937,Juarez Tequila Silver,12,"1,000",6.92,10.38,12,124.56,12.00,3.17
S13224300005,07/08/2013,3494,Sam's Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702,POINT (-92.353103 42.456374),07,Black Hawk,1032080,IMPORTED VODKA,115,"Constellation Wine Company, Inc.",34821,Svedka Vodka,6,"1,750",13.28,19.92,60,"1,195.20",105.00,27.74
S08351600087,10/16/2012,2649,Hy-Vee #3 / Dubuque,400 LOCUST ST,DUBUQUE,52001,POINT (-90.666497 42.49721900000001),31,Dubuque,1041100,AMERICAN DRY GINS,259,Heaven Hill Brands,29566,Burnett's Gin London Dry,12,750,4.22,6.60,4,26.40,3.00,0.79
S15526600008,11/05/2013,3742,Wal-Mart 1625 / Lemars,1111 HOLTON DR,LEMARS,51031,POINT (-96.185499 42.780675),75,Plymouth,1031080,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,"1,750",7.20,10.79,6,64.74,10.50,2.77
S15693600001,11/13/2013,3655,M and M Liquor Store,2763 FLOYD BLVD,SIOUX CITY,51104,POINT (-96.380853 42.518796),97,Woodbury,1052010,IMPORTED GRAPE BRANDIES,389,REMY COINTREAU USA         .,49185,Remy Martin Vsop (flask),12,375,10.08,15.12,12,181.44,4.50,1.19
S26571800021,07/06/2015,4126,Sam's Mainstreet Market / Solon,123 E MAIN ST,SOLON,52333,POINT (-91.494611 41.807199),52,Johnson,1062310,SPICED RUM,260,Diageo Americas,43334,Captain Morgan Spiced Rum,24,375,5.00,7.50,24,180.00,9.00,2.38
S21264800090,09/17/2014,2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,POINT (-92.435236 42.512789),07,Black Hawk,1062300,FLAVORED RUM,65,Jim Beam Brands,44476,Cruzan Coconut Rum,12,750,6.83,10.25,3,30.75,2.25,0.59
S03862200015,02/01/2012,3712,Monte Spirits,109 N 4TH ST,MONTEZUMA,50171,POINT (-92.523692 41.585429),79,Poweshiek,1081330,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,"1,000",7.35,11.02,12,132.24,12.00,3.17
S25871300023,05/27/2015,3947,Seaton's Flag Foods,122 A EAST FRONT ST,BROOKLYN,52211,POINT (-92.444377 41.728699),79,Poweshiek,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",10553,Black Velvet Cinnamon Rush,12,750,6.75,10.13,2,20.26,1.50,0.40
